Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
Jumanji (1995),"Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)|NeverEnding Story III, The (1994)"
Grumpier Old Men (1995),Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)
Waiting to Exhale (1995),To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)
Father of the Bride Part II (1995),Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)
Heat (1995),Hackers (1995)|Ronin (1998)|Someone to Watch Over Me (1987)
Sabrina (1995),Grumpier Old Men (1995)|Clueless (1995)|Two if by Sea (1996)
Tom and Huck (1995),"Amazing Panda Adventure, The (1995)|Casper (1995)|Far From Home: The Adventures of Yellow Dog (1995)"
Sudden Death (1995),Money Train (1995)|Fair Game (1995)|Bad Boys (1995)
GoldenEye (1995),"Clear and Present Danger (1994)|Surviving the Game (1994)|Rock, The (1996)"
"American President, The (1995)","Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)"
Dracula: Dead and Loving It (1995),"Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)"
Balto (1995),"Gumby: The Movie (1995)|Swan Princess, The (1994)|Pinocchio (1940)"
Nixon (1995),Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
Cutthroat Island (1995),"Mask of Zorro, The (1998)|First Knight (1995)|True Lies (1994)"
Casino (1995),"Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)"
Sense and Sensibility (1995),Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)
Four Rooms (1995),Assassins (1995)|Unforgettable (1996)|Jade (1995)
Ace Ventura: When Nature Calls (1995),Father of the Bride Part II (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)
Money Train (1995),Sudden Death (1995)|Fair Game (1995)|Bad Boys (1995)
Get Shorty (1995),Faster Pussycat! Kill! Kill! (1965)|Buffalo 66 (1998)|Best Men (1997)
Copycat (1995),Amateur (1994)|Kiss of Death (1995)|Guilty as Sin (1993)
Assassins (1995),Four Rooms (1995)|Unforgettable (1996)|Jade (1995)
Powder (1995),"Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)|Until the End of the World (Bis ans Ende der Welt) (1991)"
Leaving Las Vegas (1995),Sense and Sensibility (1995)|Carrington (1995)|How to Make an American Quilt (1995)
Othello (1995),Nixon (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
Now and Then (1995),Nixon (1995)|Othello (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
Persuasion (1995),"Modern Affair, A (1995)|Jack and Sarah (1995)|Promise, The (Versprechen, Das) (1994)"
"City of Lost Children, The (1995)",Barbarella (1968)|Mighty Peking Man (Hsing hsing wang) (1977)|My Science Project (1985)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Dangerous Minds (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Twelve Monkeys (1995),"Powder (1995)|Day the Earth Stood Still, The (1951)|Until the End of the World (Bis ans Ende der Welt) (1991)"
Wings of Courage (1995),"Golden Earrings (1947)|Big Blue, The (Le Grand Bleu) (1988)|Excess Baggage (1997)"
Babe (1995),Pollyanna (1960)|Wide Awake (1998)|Waiting to Exhale (1995)
Carrington (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|How to Make an American Quilt (1995)
Dead Man Walking (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Across the Sea of Time (1995),Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)
It Takes Two (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|Mighty Aphrodite (1995)
Clueless (1995),Grumpier Old Men (1995)|Sabrina (1995)|Two if by Sea (1996)
"Cry, the Beloved Country (1995)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Richard III (1995),"Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)"
Dead Presidents (1995),"Menace II Society (1993)|Godfather, The (1972)|Godfather: Part II, The (1974)"
Restoration (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mortal Kombat (1995),"Waterworld (1995)|Good Man in Africa, A (1994)|Quest, The (1996)"
To Die For (1995),Waiting to Exhale (1995)|Kicking and Screaming (1995)|Big Bully (1996)
How to Make an American Quilt (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Seven (Se7en) (1995),"Usual Suspects, The (1995)|Romeo Is Bleeding (1993)|Purple Noon (1960)"
Pocahontas (1995),"Lady and the Tramp (1955)|Little Mermaid, The (1989)|Lion King, The (1994)"
When Night Is Falling (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Usual Suspects, The (1995)",Seven (Se7en) (1995)|Romeo Is Bleeding (1993)|Purple Noon (1960)
Guardian Angel (1994),Outbreak (1995)|Tough and Deadly (1995)|Condition Red (1995)
Mighty Aphrodite (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Lamerica (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Big Green, The (1995)","Dunston Checks In (1996)|Heavyweights (1994)|Flintstones, The (1994)"
Georgia (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Kids of the Round Table (1995),"Jumanji (1995)|Indian in the Cupboard, The (1995)|NeverEnding Story III, The (1994)"
Home for the Holidays (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Postino, Il (The Postman) (1994)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Confessional, The (Le Confessionnal) (1995)","Before and After (1996)|Hour of the Pig, The (1993)|Lone Star (1996)"
"Indian in the Cupboard, The (1995)","Jumanji (1995)|Kids of the Round Table (1995)|NeverEnding Story III, The (1994)"
Eye for an Eye (1996),"Casino (1995)|Juror, The (1996)|Mary Reilly (1996)"
Mr. Holland's Opus (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Two if by Sea (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Bio-Dome (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Lawnmower Man 2: Beyond Cyberspace (1996),"Screamers (1995)|Net, The (1995)|Virtuosity (1995)"
Two Bits (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
French Twist (Gazon maudit) (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Friday (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
From Dusk Till Dawn (1996),Heat (1995)|Hackers (1995)|Serial Mom (1994)
Fair Game (1995),Sudden Death (1995)|Money Train (1995)|Bad Boys (1995)
Kicking and Screaming (1995),Waiting to Exhale (1995)|To Die For (1995)|Big Bully (1996)
"Mis�rables, Les (1995)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)|Backbeat (1993)"
Bed of Roses (1996),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Big Bully (1996),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
