Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
Jumanji (1995),"Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)|NeverEnding Story III, The (1994)|Escape to Witch Mountain (1975)|Labyrinth (1986)|Goonies, The (1985)|Darby O'Gill and the Little People (1959)|NeverEnding Story, The (1984)|NeverEnding Story II: The Next Chapter, The (1990)|Santa Claus: The Movie (1985)"
Grumpier Old Men (1995),Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
Waiting to Exhale (1995),"To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)"
Father of the Bride Part II (1995),Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)|Mr. Wrong (1996)
Heat (1995),"Hackers (1995)|Ronin (1998)|Someone to Watch Over Me (1987)|F/X (1986)|F/X 2 (1992)|Hard Target (1993)|French Connection, The (1971)|Snake Eyes (1998)|Corruptor, The (1999)|Seven (Se7en) (1995)"
Sabrina (1995),Grumpier Old Men (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
Tom and Huck (1995),"Amazing Panda Adventure, The (1995)|Casper (1995)|Far From Home: The Adventures of Yellow Dog (1995)|Secret Adventures of Tom Thumb, The (1993)|Black Beauty (1994)|Lassie (1994)|Andre (1994)|Homeward Bound II: Lost in San Francisco (1996)|Flipper (1996)|Gold Diggers: The Secret of Bear Mountain (1995)"
Sudden Death (1995),"Money Train (1995)|Fair Game (1995)|Bad Boys (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)|Coldblooded (1995)"
GoldenEye (1995),"Clear and Present Danger (1994)|Surviving the Game (1994)|Rock, The (1996)|Daylight (1996)|Chain Reaction (1996)|Maximum Risk (1996)|Anaconda (1997)|Con Air (1997)|Firestorm (1998)|Perfect Storm, The (2000)"
"American President, The (1995)","Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)|Manhattan (1979)"
